participant	rep	040_Eyes	040_Nose	040_Mouth	0256_Eyes	0256_Nose	0256_Mouth	0278_Eyes	0278_Nose	0278_Mouth	0294_Eyes	0294_Nose	0294_Mouth	0349_Eyes	0349_Nose	0349_Mouth	0578_Eyes	0578_Nose	0578_Mouth	0597_Eyes	0597_Nose	0597_Mouth	0687_Eyes	0687_Nose	0687_Mouth	0753_Eyes	0753_Nose	0753_Mouth	1106_Eyes	1106_Nose	1106_Mouth	1285_Eyes	1285_Nose	1285_Mouth	1294_Eyes	1294_Nose	1294_Mouth	1313_Eyes	1313_Nose	1313_Mouth	1329_Eyes	1329_Nose	1329_Mouth	1388_Eyes	1388_Nose	1388_Mouth	1468_Eyes	1468_Nose	1468_Mouth	1503_Eyes	1503_Nose	1503_Mouth	1507_Eyes	1507_Nose	1507_Mouth	1618_Eyes	1618_Nose	1618_Mouth	1650_Eyes	1650_Nose	1650_Mouth	1673_Eyes	1673_Nose	1673_Mouth	1752_Eyes	1752_Nose	1752_Mouth	1809_Eyes	1809_Nose	1809_Mouth	1888_Eyes	1888_Nose	1888_Mouth	1990_Eyes	1990_Nose	1990_Mouth	1991_Eyes	1991_Nose	1991_Mouth	2176_Eyes	2176_Nose	2176_Mouth	2183_Eyes	2183_Nose	2183_Mouth	2250_Eyes	2250_Nose	2250_Mouth	2580_Eyes	2580_Nose	2580_Mouth	0176_Eyes	0176_Nose	0176_Mouth	0207_Eyes	0207_Nose	0207_Mouth	0208_Eyes	0208_Nose	0208_Mouth	0210_Eyes	0210_Nose	0210_Mouth	0628_Eyes	0628_Nose	0628_Mouth	0699_Eyes	0699_Nose	0699_Mouth	0821_Eyes	0821_Nose	0821_Mouth	0946_Eyes	0946_Nose	0946_Mouth	1099_Eyes	1099_Nose	1099_Mouth	1108_Eyes	1108_Nose	1108_Mouth	1111_Eyes	1111_Nose	1111_Mouth	1137_Eyes	1137_Nose	1137_Mouth	1305_Eyes	1305_Nose	1305_Mouth	1314_Eyes	1314_Nose	1314_Mouth	1315_Eyes	1315_Nose	1315_Mouth	1334_Eyes	1334_Nose	1334_Mouth	1346_Eyes	1346_Nose	1346_Mouth	1379_Eyes	1379_Nose	1379_Mouth	1519_Eyes	1519_Nose	1519_Mouth	1541_Eyes	1541_Nose	1541_Mouth	1552_Eyes	1552_Nose	1552_Mouth	1765_Eyes	1765_Nose	1765_Mouth	1828_Eyes	1828_Nose	1828_Mouth	2276_Eyes	2276_Nose	2276_Mouth	1840_Eyes	1840_Nose	1840_Mouth	1913_Eyes	1913_Nose	1913_Mouth	1999_Eyes	1999_Nose	1999_Mouth	2555_Eyes	2555_Nose	2555_Mouth	2549_Eyes	2549_Nose	2549_Mouth	2860_Eyes	2860_Nose	2860_Mouth
17	1	Small	Large	Small	Medium	Large	Large	Small	Large	Large	Medium	Large	Large	Small	Medium	Large	Large	Large	Medium	Large	Medium	Large	Medium	Medium	Medium	Small	Medium	Large	Medium	Medium	Large	Medium	Small	Medium	Medium	Small	Large	Large	Medium	Large	Large	Medium	Medium	Large	Medium	Large	Medium	Large	Small	Medium	Large	Small	Large	Small	Large	Large	Large	Large	Large	Medium	Medium	Large	Medium	Large	Small	Large	Small	Small	Large	Large	Large	Medium	Medium	Large	Medium	Medium	Small	Medium	Small	Small	Medium	Large	Medium	Large	Large	Small	Large	Large	Small	Large	Medium	Large	Medium	Large	Small	Medium	Large	Small	Medium	Large	Small	Medium	Small	Small	Medium	Medium	Small	Medium	Large	Small	Small	Large	Large	Small	Large	Small	Medium	Large	Large	Large	Medium	Large	Small	Large	Large	Small	Large	Large	Small	Medium	Medium	Small	Large	Medium	Medium	Small	Large	Small	Medium	Large	Small	Large	Small	Small	Medium	Large	Medium	Large	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Large	Large	Medium	Large	Medium	Medium	Medium	Small	Small	Large	Small	Medium	Large	Medium	Medium	Large	Small	Large	Large	Medium	Medium	Large	Small	Medium	Small
20	1	Medium	Large	Small	Medium	Large	Medium	Small	Large	Large	Small	Large	Large	Small	Medium	Large	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Small	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Large	Large	Medium	Large	Small	Large	Small	Small	Small	Small	Medium	Small	Large	Small	Medium	Large	Medium	Large	Medium	Medium	Small	Large	Medium	Medium	Large	Medium	Small	Medium	Large	Medium	Medium	Small	Small	Medium	Large	Medium	Small	Small	Small	Small	Medium	Medium	Small	Medium	Medium	Medium	Medium	Large	Small	Large	Medium	Small	Small	Large	Small	Medium	Medium	Small	Medium	Large	Medium	Small	Small	Medium	Medium	Medium	Medium	Large	Large	Medium	Medium	Medium	Medium	Small	Large	Medium	Large	Medium	Small	Large	Small	Large	Small	Medium	Large	Small	Large	Large	Small	Small	Medium	Medium	Large	Medium	Medium	Small	Large	Medium	Medium	Large	Small	Large	Medium	Medium	Small	Large	Medium	Small	Large	Medium	Medium	Large	Small	Medium	Large	Small	Medium	Medium	Small	Medium	Large	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Large	Medium	Medium	Large	Large	Large	Medium	Medium	Large	Small	Medium	Small
22	1	Small	Medium	Small	Medium	Medium	Large	Medium	Large	Large	Medium	Large	Large	Medium	Large	Large	Medium	Medium	Large	Medium	Large	Small	Medium	Large	Small	Small	Medium	Large	Small	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Small	Medium	Small	Medium	Medium	Small	Medium	Small	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Large	Large	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Large	Medium	Small	Small	Medium	Small	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Large	Medium	Medium	Small	Large	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Small	Large	Medium	Small	Medium	Medium	Medium	Medium	Large	Small	Large	Medium	Medium	Large	Small	Large	Medium	Medium	Large	Medium	Large	Large	Medium	Small	Large	Medium	Large	Medium	Small	Small	Large	Medium	Small	Medium	Small	Medium	Medium	Large	Small	Medium	Small	Small	Small	Small	Small	Large	Small	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Medium	Medium	Large	Medium	Large	Medium	Small	Large	Medium	Medium	Medium	Small	Medium	Small
24	1	Small	Medium	Small	Large	Large	Medium	Medium	Large	Medium	Small	Large	Large	Small	Large	Large	Large	Large	Large	Medium	Large	Medium	Small	Medium	Small	Small	Medium	Large	Small	Medium	Medium	Medium	Small	Small	Small	Medium	Medium	Medium	Large	Medium	Large	Large	Medium	Medium	Small	Medium	Small	Medium	Small	Medium	Large	Medium	Large	Small	Medium	Medium	Large	Large	Medium	Large	Small	Medium	Large	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Small	Small	Large	Large	Small	Small	Small	Small	Small	Medium	Large	Small	Medium	Large	Small	Large	Large	Small	Large	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Medium	Large	Medium	Medium	Small	Medium	Small	Medium	Medium	Large	Large	Small	Medium	Large	Medium	Medium	Large	Small	Large	Medium	Medium	Medium	Small	Large	Small	Large	Large	Medium	Large	Large	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Large	Medium	Large	Medium	Small	Large	Medium	Small	Small	Large	Large	Small	Small	Medium	Small	Medium	Small	Small	Medium	Small	Large	Small	Small	Medium	Large	Medium	Small	Medium	Medium	Large	Small	Small	Large	Medium	Small	Medium	Large	Medium	Large	Medium	Large	Large	Medium	Medium	Small
1	2	Medium	Large	Small	Medium	Large	Large	Medium	Large	Medium	Small	Large	Large	Medium	Large	Medium	Large	Large	Large	Medium	Large	Medium	Medium	Large	Small	Small	Medium	Medium	Medium	Large	Large	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Small	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Small	Small	Large	Small	Medium	Medium	Medium	Medium	Large	Large	Medium	Large	Medium	Large	Large	Large	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Small	Medium	Large	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Large	Medium	Medium	Large	Large	Small	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Large	Medium	Large	Medium	Medium	Medium	Large	Medium	Medium	Large	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Small	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Large	Medium	Medium	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Medium	Small
2	2	Medium	Medium	Medium	Medium	Large	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Small	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Medium	Large	Large	Medium	Small	Medium	Small	Large	Large	Small	Large	Medium	Medium	Large	Large	Large	Large	Medium	Small	Medium	Large	Large	Medium	Large	Medium	Large	Medium	Large	Medium	Medium	Medium	Large	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Large	Medium	Large	Medium	Large	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Small	Medium	Large	Medium	Large	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Large	Medium	Large	Medium	Small	Medium	Medium	Small	Large	Medium	Small	Large	Medium	Medium	Large	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Medium	Medium	Medium	Medium	Medium	Small
3	2	Medium	Medium	Medium	Large	Large	Large	Large	Large	Medium	Small	Large	Large	Large	Medium	Medium	Large	Large	Medium	Medium	Large	Medium	Large	Large	Small	Small	Small	Medium	Medium	Large	Medium	Small	Small	Small	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Medium	Medium	Medium	Small	Large	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Medium	Large	Small	Large	Small	Large	Large	Medium	Large	Medium	Medium	Large	Large	Medium	Small	Small	Small	Large	Medium	Small	Small	Small	Small	Small	Large	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Large	Large	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Medium	Medium	Large	Small	Small	Medium	Medium	Medium	Large	Large	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Large	Medium	Large	Medium	Large	Large	Medium	Medium	Medium	Medium	Small	Small	Small	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Large	Medium	Small
4	2	Medium	Large	Small	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Large	Medium	Large	Medium	Medium	Medium	Medium	Large	Small	Medium	Medium	Large	Medium	Medium	Large	Medium	Small	Small	Small	Small	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Large	Medium	Large	Small	Small	Medium	Small	Medium	Small	Large	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Large	Medium	Large	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Medium	Small	Small	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Large	Small	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Large	Small	Large	Small	Medium	Large	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Large	Medium	Large	Medium	Medium	Small	Small
5	2	Large	Large	Small	Large	Large	Medium	Medium	Medium	Large	Small	Large	Large	Medium	Medium	Large	Large	Medium	Large	Large	Medium	Large	Small	Medium	Medium	Medium	Medium	Large	Large	Medium	Medium	Large	Small	Small	Large	Medium	Large	Large	Medium	Medium	Large	Large	Large	Large	Medium	Large	Large	Medium	Small	Large	Large	Medium	Large	Medium	Large	Large	Medium	Large	Large	Large	Medium	Large	Medium	Large	Medium	Medium	Small	Medium	Medium	Large	Large	Medium	Small	Large	Medium	Medium	Small	Medium	Small	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Medium	Large	Large	Large	Medium	Large	Medium	Medium	Small	Small	Medium	Large	Large	Medium	Medium	Large	Medium	Medium	Medium	Large	Large	Large	Large	Large	Large	Medium	Large	Large	Large	Small	Medium	Large	Medium	Large	Small	Large	Large	Small	Large	Large	Medium	Medium	Large	Medium	Large	Large	Large	Small	Large	Small	Large	Large	Medium	Large	Medium	Medium	Small	Large	Large	Medium	Large	Medium	Small	Large	Small	Medium	Large	Small	Large	Large	Medium	Large	Large	Medium	Small	Medium	Medium	Large	Large	Small	Large	Large	Medium	Medium	Large	Large	Large	Large	Large	Large	Large	Large	Small
6	2	Medium	Large	Small	Medium	Large	Large	Medium	Large	Small	Medium	Large	Large	Medium	Large	Large	Large	Medium	Medium	Medium	Large	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Large	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Large	Medium	Medium	Medium	Large	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Small	Large	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Small	Small	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Small	Large	Medium	Medium	Large	Medium	Large	Large	Medium	Small	Medium	Medium	Medium	Medium	Small	Small	Large	Medium	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Medium	Small	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Large	Medium	Large	Small	Medium	Small	Small
7	2	Small	Medium	Small	Small	Large	Medium	Medium	Large	Large	Small	Large	Large	Small	Medium	Medium	Large	Medium	Medium	Small	Medium	Small	Medium	Medium	Small	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Small	Small	Small	Small	Medium	Small	Small	Large	Medium	Medium	Large	Small	Medium	Small	Medium	Small	Small	Medium	Small	Large	Small	Medium	Small	Large	Large	Medium	Medium	Small	Small	Large	Large	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Small	Small	Small	Small	Small	Small	Medium	Medium	Medium	Medium	Large	Small	Large	Medium	Large	Medium	Large	Medium	Small	Medium	Medium	Medium	Large	Medium	Small	Medium	Large	Small	Small	Small	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Large	Medium	Large	Medium	Small	Large	Small	Medium	Large	Large	Large	Large	Medium	Small	Medium	Medium	Medium	Large	Small	Small	Large	Small	Medium	Large	Small	Medium	Large	Small	Small	Large	Medium	Medium	Medium	Small	Small	Small	Small	Small	Large	Small	Medium	Small	Medium	Medium	Large	Small	Small	Large	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Large	Large	Large	Medium	Large	Medium	Medium	Small	Small
8	2	Small	Medium	Small	Large	Large	Small	Medium	Large	Medium	Small	Large	Large	Small	Medium	Medium	Large	Large	Medium	Large	Large	Medium	Small	Large	Small	Small	Small	Medium	Medium	Medium	Medium	Small	Small	Small	Small	Small	Medium	Large	Large	Medium	Large	Large	Medium	Large	Medium	Medium	Large	Medium	Small	Large	Large	Small	Large	Small	Medium	Medium	Large	Large	Large	Large	Small	Large	Large	Large	Large	Small	Small	Small	Medium	Small	Large	Medium	Medium	Large	Medium	Small	Small	Medium	Small	Small	Small	Medium	Small	Medium	Medium	Small	Medium	Medium	Small	Large	Small	Large	Medium	Large	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Small	Large	Medium	Large	Large	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Large	Large	Medium	Large	Small	Medium	Large	Small	Small	Large	Large	Large	Small	Large	Small	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Small	Large	Large	Small	Medium	Medium	Small	Small	Medium	Small	Large	Small	Medium	Large	Small	Medium	Large	Small	Small	Large	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Large	Medium	Small
9	2	Medium	Medium	Small	Medium	Large	Large	Small	Large	Small	Medium	Large	Large	Small	Medium	Medium	Large	Large	Large	Medium	Medium	Small	Medium	Medium	Small	Small	Small	Medium	Small	Medium	Large	Small	Small	Small	Small	Medium	Medium	Small	Large	Medium	Large	Large	Medium	Medium	Medium	Medium	Small	Medium	Small	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Large	Medium	Medium	Small	Large	Large	Large	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small	Medium	Large	Small	Small	Small	Small	Small	Medium	Large	Medium	Medium	Medium	Medium	Medium	Large	Medium	Large	Medium	Small	Medium	Large	Small	Small	Medium	Medium	Medium	Large	Medium	Small	Medium	Medium	Small	Small	Medium	Large	Large	Small	Medium	Large	Small	Small	Medium	Medium	Large	Small	Small	Large	Small	Large	Medium	Medium	Large	Medium	Medium	Large	Medium	Small	Medium	Medium	Medium	Large	Large	Small	Large	Medium	Medium	Medium	Small	Medium	Medium	Large	Medium	Small	Medium	Small	Small	Medium	Small	Medium	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Medium	Large	Medium	Small	Medium	Large	Large	Large	Large	Large	Large	Medium	Medium	Small
11	2	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Small	Large	Large	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Small	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Small	Small	Small	Medium	Medium	Medium	Small	Small	Medium	Medium	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Small	Medium	Medium	Medium	Medium	Large	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Small
12	2	Small	Large	Small	Medium	Large	Large	Medium	Large	Medium	Small	Large	Large	Medium	Large	Medium	Large	Large	Large	Medium	Medium	Medium	Large	Large	Small	Medium	Medium	Large	Medium	Medium	Small	Medium	Small	Small	Medium	Small	Small	Medium	Large	Small	Large	Large	Medium	Large	Medium	Medium	Medium	Large	Small	Medium	Large	Small	Large	Medium	Large	Medium	Large	Large	Medium	Medium	Small	Large	Large	Large	Medium	Large	Small	Medium	Large	Medium	Medium	Medium	Small	Large	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Large	Large	Small	Large	Large	Large	Small	Large	Medium	Medium	Medium	Medium	Large	Large	Large	Small	Small	Large	Medium	Small	Medium	Large	Large	Medium	Medium	Medium	Large	Medium	Medium	Medium	Large	Small	Small	Medium	Small	Large	Medium	Medium	Large	Large	Large	Large	Medium	Small	Large	Medium	Medium	Large	Large	Small	Large	Medium	Large	Medium	Medium	Medium	Large	Medium	Medium	Large	Large	Medium	Large	Large	Large	Large	Small	Small	Large	Medium	Large	Large	Large	Medium	Large	Large	Small	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Large	Large	Large	Large	Large	Medium	Medium	Medium	Small
13	2	Small	Medium	Small	Medium	Medium	Large	Small	Large	Medium	Small	Large	Medium	Small	Small	Medium	Large	Medium	Small	Medium	Medium	Medium	Small	Large	Small	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Small	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Large	Small	Small	Large	Small	Large	Medium	Medium	Medium	Large	Large	Small	Medium	Small	Small	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Small	Large	Medium	Small	Small	Small	Small	Small	Small	Medium	Small	Medium	Medium	Medium	Medium	Large	Small	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Small	Medium	Large	Medium	Medium	Small	Medium	Medium	Small	Small	Large	Large	Medium	Medium	Medium	Medium	Medium	Medium	Small	Large	Small	Medium	Medium	Small	Large	Medium	Medium	Medium	Large	Large	Large	Small	Small	Medium	Medium	Medium	Medium	Medium	Small	Large	Medium	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Large	Small	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Small	Small	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small
14	2	Small	Large	Small	Small	Large	Large	Medium	Large	Small	Small	Large	Large	Medium	Small	Medium	Large	Medium	Small	Medium	Small	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Large	Large	Small	Small	Large	Medium	Large	Small	Large	Small	Small	Small	Large	Large	Medium	Large	Small	Medium	Medium	Small	Small	Medium	Medium	Small	Large	Large	Medium	Medium	Small	Small	Medium	Small	Small	Small	Small	Small	Medium	Medium	Small	Small	Medium	Medium	Medium	Medium	Small	Large	Medium	Medium	Large	Large	Medium	Medium	Medium	Small	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Large	Small	Large	Medium	Small	Small	Small	Small	Medium	Medium	Small	Medium	Small	Large	Small	Small	Large	Small	Small	Small	Medium	Small	Medium	Medium	Large	Small	Medium	Medium	Large	Small	Small	Small	Medium	Medium	Small	Medium	Small	Large	Medium	Medium	Medium	Small	Large	Medium	Medium	Medium	Large	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Large	Small	Medium	Small	Small	Small	Small	Medium	Medium	Small	Small	Large	Medium	Medium	Large	Small	Small	Small
15	2	Small	Medium	Small	Medium	Medium	Medium	Medium	Large	Medium	Small	Large	Large	Small	Medium	Medium	Large	Medium	Medium	Medium	Medium	Small	Small	Medium	Small	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Small	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Small	Medium	Small	Small	Medium	Small	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Small	Medium	Medium	Small	Small	Small	Small	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Small	Medium	Large	Small	Medium	Medium	Small	Medium	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Small	Small	Medium	Small	Large	Medium	Medium	Medium	Medium	Large	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Small	Large	Medium	Medium	Medium	Small	Medium	Large	Medium	Small	Medium	Medium	Small	Small	Medium	Small	Medium	Small	Small	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Small
16	2	Small	Medium	Small	Small	Large	Large	Small	Large	Large	Small	Large	Large	Small	Medium	Medium	Medium	Medium	Medium	Small	Medium	Medium	Medium	Medium	Small	Small	Medium	Large	Small	Small	Large	Small	Small	Small	Small	Small	Medium	Medium	Medium	Large	Medium	Medium	Medium	Medium	Medium	Medium	Small	Small	Small	Medium	Large	Small	Medium	Medium	Large	Small	Medium	Large	Small	Medium	Small	Medium	Medium	Large	Medium	Medium	Small	Small	Medium	Large	Small	Small	Small	Medium	Medium	Small	Small	Small	Small	Small	Medium	Medium	Small	Medium	Large	Small	Medium	Large	Small	Large	Medium	Medium	Medium	Large	Medium	Small	Small	Small	Medium	Large	Medium	Medium	Medium	Small	Medium	Medium	Small	Medium	Medium	Small	Medium	Large	Small	Medium	Large	Small	Large	Medium	Small	Medium	Small	Large	Large	Large	Medium	Medium	Large	Large	Small	Small	Medium	Medium	Medium	Small	Medium	Medium	Large	Medium	Medium	Large	Medium	Large	Small	Medium	Medium	Medium	Medium	Small	Large	Medium	Small	Small	Medium	Small	Medium	Small	Medium	Small	Medium	Medium	Medium	Large	Small	Medium	Medium	Small	Small	Medium	Medium	Small	Small	Small	Large	Medium	Small	Small	Small	Medium	Small	Medium	Small
